ID,VECTWHSE,BAY,YPOS,XPOS,BAYHEIGHT,BAYWIDTH,WALKFEET,CSLS,TIER
6889,6,A19PL11,3710,202,40,44,20,LSE,L01
6890,6,A19PL21,3710,250,40,44,28,LSE,L01
6891,6,A19PL31,3710,298,40,44,36,LSE,L01
6892,6,A19PL41,3710,346,40,44,44,LSE,L01
6893,6,A19PL51,3710,394,40,44,52,LSE,L01
6894,6,A19PL61,3710,442,40,44,60,LSE,L01
6895,6,A19PL71,3710,490,40,44,68,LSE,L01
7364,6,A62PL41,3710,874,40,44,20,LSE,L01
7365,6,A62PL51,3710,826,40,44,28,LSE,L01
7366,6,A62PL61,3710,778,40,44,36,LSE,L01
7367,6,A62PL71,3710,730,40,44,44,LSE,L01
7368,6,A62PL81,3710,682,40,44,52,LSE,L01
7665,6,A060011,5000,40,48,40,8,LSE,L01
7666,6,A060012,4950,40,48,40,8,LSE,L01
7667,6,A070011,4900,40,48,40,8,LSE,L01
7668,6,A070012,4850,40,48,40,8,LSE,L01
7669,6,A080011,4800,40,48,40,8,LSE,L01
7670,6,A080012,4750,40,48,40,8,LSE,L01
7672,6,A090012,4650,40,48,40,8,LSE,L01
7673,6,A100011,4600,40,48,40,8,LSE,L01
7674,6,A100012,4550,40,48,40,8,LSE,L01
7675,6,A110011,4500,40,48,40,8,LSE,L01
7676,6,A110012,4450,40,48,40,8,LSE,L01
7677,6,A120011,4400,40,48,40,8,LSE,L01
7678,6,A120012,4350,40,48,40,8,LSE,L01
7679,6,A130011,4300,40,48,40,8,LSE,L01
7680,6,A130012,4250,40,48,40,8,LSE,L01
7681,6,A140011,4200,40,48,40,8,LSE,L01
7683,6,A150011,4100,40,48,40,8,LSE,L01
7684,6,A150012,4050,40,48,40,8,LSE,L01
7685,6,A160011,4000,40,48,40,8,LSE,L01
7686,6,A160012,3950,40,48,40,8,LSE,L01
7687,6,A170011,3900,40,48,40,8,LSE,L01
7688,6,A170012,3850,40,48,40,8,LSE,L01
7689,6,A180011,3800,40,48,40,8,LSE,L01
7690,6,A180012,3750,40,48,40,8,LSE,L01
7691,6,A190011,3638,40,48,40,8,LSE,L01
7693,6,A200011,3538,40,48,40,8,LSE,L01
7694,6,A200012,3488,40,48,40,8,LSE,L01
7695,6,A210011,3438,40,48,40,8,LSE,L01
7696,6,A210012,3388,40,48,40,8,LSE,L01
7697,6,A220011,3338,40,48,40,8,LSE,L01
7698,6,A220012,3288,40,48,40,8,LSE,L01
7699,6,A230011,3238,40,48,40,8,LSE,L01
7701,6,A240011,3138,40,48,40,8,LSE,L01
7702,6,A240012,3088,40,48,40,8,LSE,L01
7703,6,A250011,3038,40,48,40,8,LSE,L01
7704,6,A250012,2988,40,48,40,8,LSE,L01
7705,6,A260011,2938,40,48,40,8,LSE,L01
7706,6,A260012,2888,40,48,40,8,LSE,L01
7707,6,A270011,2838,40,48,40,8,LSE,L01
7708,6,A270012,2788,40,48,40,8,LSE,L01
7709,6,A280011,2738,40,48,40,8,LSE,L01
7710,6,A280012,2688,40,48,40,8,LSE,L01
7711,6,A290011,2638,40,48,40,8,LSE,L01
7712,6,A290012,2588,40,48,40,8,LSE,L01
7713,6,A290013,2538,40,48,40,16,LSE,L01
